# Constructed from biom file																															
#OTU ID	A1_b	A2_b	A3_b	A4_b	A5_b	A6_b	B1_b	B2_b	B3_b	B4_b	B5_b	B6_b	C1_b	C2_b	C3_b	C4_b	C5_b	C6_b	D1_b	D2_b	D3_b	D4_b	D5_b	D6_b	E1_b	E2_b	E3_b	E4_b	E5_b	E6_b	taxonomy
40c00caf4aba9abc8cf5384e6e8e438c	0	0	0	0	0	0	148	328	232	538	682	290	18	16	0	0	96	92	66	62	0	0	0	0	62	20	0	52	32	46	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Unidentified_Enterobacteriaceae
82dece6e35540738ba450a0c3a90b5a0	460	332	512	484	312	586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Serratia
681c1740d5917dc84caacdd55ece7ca2	0	0	0	0	0	0	20	0	48	60	54	24	0	0	0	0	0	0	154	404	612	334	498	336	38	0	0	0	0	34	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
f78f9a00d20689fd222c34bcc4445fc2	0	0	0	0	0	2	6	0	0	0	0	0	342	292	230	452	476	298	0	0	96	44	44	96	32	0	0	24	130	48	Bacteria; Bacteroidetes; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Sphingobacterium
1be978004eacb113425e88922d4f1181	0	0	0	0	0	0	0	0	0	0	0	0	298	346	190	464	556	548	0	0	48	50	0	56	0	0	0	0	0	0	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
166093520348b8c5ef6a4eb79faae728	0	6	0	0	0	0	74	484	262	520	388	186	0	0	0	0	70	84	32	58	0	10	0	0	100	24	12	38	44	18	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus
4608fae4bbc9964cdd17af8782f2155e	0	0	14	0	0	0	0	0	0	0	0	0	334	300	404	284	454	348	0	0	40	40	128	48	0	0	0	0	0	0	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Massilia
4d53a2830b7d5cd71bf509b03e90a152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516	288	118	444	400	404	Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
706a463876c3dc515cd29492c0be4e47	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	534	312	168	414	364	316	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Saccharopolyspora
ef5c15da7632abb7bfffba81c7841593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	472	224	218	322	406	464	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus
96d725f0f8da6584ac9a5be0ae04878a	0	0	0	0	0	0	0	10	0	26	24	14	0	0	0	0	0	0	38	64	52	60	134	456	318	248	72	204	150	190	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus
c06ccd1f7d57566ef669942328b1a946	0	0	0	0	0	0	58	166	186	326	256	166	0	34	0	0	84	110	52	98	74	72	126	40	52	28	24	36	30	16	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
569653b1659271a290facfcedd0de061	0	0	4	0	0	6	8	0	0	0	16	14	46	18	30	0	62	42	102	102	108	92	128	558	168	92	92	138	96	88	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus
97a517e8982ed656ee0601ab6ce3fc17	0	0	0	0	0	0	0	0	0	0	0	0	104	86	122	52	102	110	0	0	22	0	42	12	202	186	130	340	306	182	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Micrococcales_Incertae_Sedis; Timonella
bdf8a26094624622d68509a87fa75ba7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	40	26	34	0	48	504	142	48	158	320	552	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
6e0ee36ee1f02aa82cb6072ea2a8c0f4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	442	182	122	294	310	472	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus
ee6bd9c6850ab03e7dc6e29661658c41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	124	80	466	498	370	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Luteimonas
5c9dbe36d5c807b2f6b4c78cf1d05c9d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	536	176	66	314	306	368	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus
3c07d2b8481cf8bb9dcf0c0f276c052a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	434	250	154	316	294	290	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Nocardiopsaceae; Thermobifida
9835b27b9a8357a476c7745482e82d60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	220	90	320	312	294	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Nocardiopsaceae; Nocardiopsis
bc36214890a26655bb0101cf1456eef4	0	0	0	0	0	0	0	0	0	0	0	0	160	136	120	166	222	176	58	28	210	106	124	116	0	0	0	0	0	0	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter
8afaa0a890bbbfaeac628f1d2816001e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	454	182	156	394	180	248	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Saccharomonospora
7950b986622a877a28770aef4b4c4dd2	0	0	0	0	0	0	0	0	0	0	0	0	36	10	0	22	44	32	0	0	0	0	0	0	302	200	194	276	212	290	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
def6831651d1755be223baa92d3e23cf	0	0	0	0	0	0	0	0	0	0	0	0	20	22	16	26	72	40	0	4	8	0	8	8	388	162	64	244	186	314	Bacteria; Actinobacteria; Actinobacteria; Glycomycetales; Glycomycetaceae; Glycomyces
59b3a8926b740935f1619e733dfcc177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	486	270	50	346	204	162	Bacteria; Proteobacteria; Gammaproteobacteria; Steroidobacterales; Steroidobacteraceae; Steroidobacter
aa2a4b5cee7b425c33de2aef76ace28c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	388	98	194	196	164	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus
43e1b17b9974c1f24dc3db00355c9257	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	438	158	50	336	260	156	Bacteria; Chloroflexi; Chloroflexia; Chloroflexales; Roseiflexaceae; Uncultured
d2afec9d586765ccd365c8d225010228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	152	74	266	290	212	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus
53903158801eb4b694d25e3427a7f6fd	0	0	0	0	0	0	0	0	0	0	0	0	74	60	60	130	206	146	0	0	0	0	40	0	206	54	32	122	140	122	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Nocardiopsaceae; Nocardiopsis
5602d10a6d065f26324435e9c0ba15dc	0	0	0	0	0	0	0	0	0	0	0	0	126	142	68	182	254	168	0	0	38	12	16	50	40	46	0	102	70	32	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Devosiaceae; Devosia
fd68eb94bbe16fb71cf1da0285542026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	142	70	328	188	188	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Nocardiopsaceae; Nocardiopsis
83e948f389f9d97b0c975afc880989e8	186	88	156	200	212	156	10	0	0	0	0	0	0	0	0	10	0	0	0	6	0	0	0	48	48	0	12	36	94	36	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
a86d12b5b6afc410648fbecba3b8dc4b	0	0	0	0	0	0	56	114	110	304	418	92	0	0	0	0	42	52	38	54	0	0	0	0	0	0	0	0	0	0	Bacteria; Bacteroidetes; Bacteroidia; Flavobacteriales; Weeksellaceae; Chryseobacterium
4552af3e905206840cf8b67bcaf2693f	0	0	0	0	0	0	0	0	0	0	0	0	110	182	120	164	226	144	22	0	36	62	40	54	34	0	0	0	26	40	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Unidentified_Enterobacteriaceae
c8183367bffb7de1e4c8917a9fc3f6c2	0	0	2	0	0	0	0	0	0	0	0	0	196	152	96	196	234	224	0	0	0	36	56	32	0	0	0	0	10	22	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Saccharopolyspora
0ff52ecd45be79c478d82cfd5bd2e9cd	0	0	0	0	0	0	0	6	0	0	0	0	166	120	118	196	274	190	0	0	40	22	24	56	44	0	0	0	0	0	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter
19edccc18a03b9c0d0b50886d8d2f2d0	0	0	0	0	0	0	0	0	0	0	0	0	166	172	96	222	342	128	0	0	28	16	28	52	0	0	0	0	0	0	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Halomonadaceae; Halomonas
3b94c19ef326eea0918e1c3d244c999c	186	0	248	286	172	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Unidentified_Enterobacteriaceae
65d43491988bfe557da4d86a5ba25dae	202	152	238	254	184	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
7d0d1128850e28ffeb3067dabecee9ba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	144	34	278	182	200	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium_5
dd8229814f2d127e61ac92c5d275db8b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	126	122	260	236	202	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Unidentified_Burkholderiaceae
0ed6854f5740a2eea5deb3af31db72c0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	412	118	90	228	142	214	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Brevibacillus
b82c3535fb937a58b95e70647a411c16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	224	168	58	266	322	138	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Chelatococcus
c83d3715398517b82246ea219c3b0781	0	0	0	0	0	0	0	0	0	0	0	0	144	142	60	164	232	244	0	0	32	20	12	32	30	6	0	20	0	16	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Devosiaceae; Pelagibacterium
beac7c84e8eae8c4e9f6140a46f5843a	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	538	24	262	52	166	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura
20b3df08cd5fac2be26a2928155bab69	0	0	0	0	0	0	0	0	14	14	0	0	0	56	0	58	92	0	0	0	12	18	32	24	176	110	62	194	150	112	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Achromobacter
243f0a8a86efa886a49c9d68e0524b63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	372	138	34	158	208	186	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Dysgonomonadaceae; Proteiniphilum
8ce12e88f6b59bb09494567f0d678092	0	0	0	0	0	0	8	16	20	20	22	32	12	10	12	12	26	14	0	0	0	0	0	12	228	136	24	216	154	110	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
a1ed615a4ed0b08c534fcc504a4608b2	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	258	122	0	178	320	156	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Promicromonosporaceae; Cellulosimicrobium
6d7c3591a60351934fa6070a0db83176	0	0	0	0	0	0	0	0	0	0	0	0	72	110	74	104	176	116	0	0	20	0	18	34	62	42	18	64	84	50	Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
cae6a99635f967483cca9869c4f60efb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	164	64	276	132	140	Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
ea403646ed22d679fa4586263d8fc32f	0	0	0	0	0	0	0	0	0	28	0	0	26	30	10	24	60	40	0	0	6	10	0	8	202	96	52	138	194	112	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter
b381b237c2eefde436e72e237168474d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	224	48	178	198	184	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura
70eae3f0af7c1ad7350c1a3189b6766b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	150	128	210	136	214	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus
5a85851196cf28506943318a2b3d5114	0	0	0	0	0	0	14	44	44	132	116	38	74	66	44	90	104	142	0	18	22	0	10	18	0	0	0	0	0	6	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
2815e2eb706f328b5d43215f5d38906e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	318	138	50	172	136	160	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura
c11224a2c78321aae315f6df4fbe0332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	104	38	192	246	108	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Pseudoxanthomonas
dcc453180f4f8181835dc7c9227847d6	0	0	0	0	0	0	0	0	0	0	0	0	82	112	58	82	160	118	0	0	26	32	14	34	130	30	4	20	46	14	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Devosiaceae; Pelagibacterium
9c0de7908dd6ef3d536b42d9e11e0779	0	0	0	0	0	0	30	102	54	252	174	72	0	0	0	0	46	36	0	30	0	0	0	0	68	0	18	48	18	0	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Unidentified_Burkholderiaceae
e80d9b199b6415215bd081bc7703fdb8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	108	76	236	162	104	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Shinella
566e7c6bd78cd8239498181b193e8f3e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	82	56	322	160	100	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Bordetella
78db7fa6b16b73b101fbb8b282b5330e	0	0	0	0	0	0	0	0	0	0	0	0	58	70	48	26	54	54	0	0	0	0	0	0	58	38	38	78	124	290	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
f8b80982510bec63a6322c13861027e5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	192	72	148	108	156	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus
10b890326e2b0b15509aefb95d0d6b79	0	0	0	0	0	0	0	10	0	0	0	0	114	140	92	120	166	134	0	0	26	32	30	56	0	0	0	0	0	0	Bacteria; Bacteroidetes; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Sphingobacterium
a1d101a92e585f5b7bd0bffc9600dd15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	250	80	70	140	204	162	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus
7ea4b157e51f38c83a0693ce6ea70f53	4	0	0	0	0	0	0	0	0	0	0	0	98	110	68	126	246	142	0	0	24	16	24	10	6	0	4	16	10	10	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Ochrobactrum
f42e53974ad60b6f7e2f908c6a780ac4	0	0	0	0	0	0	0	0	0	0	0	0	98	94	132	108	156	218	0	0	24	34	14	34	0	0	0	0	0	0	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
